Latitude,Longitude,Elevation Ft,
47.513765576226945,-116.81194813918746,2198.6919813582676,
47.513196,-116.812607,2207.407112821522,
47.51397242209352,-116.8107197900655,2191.3303164993436,
47.514080646437804,-116.80970806278708,2164.125417473753,
47.51266464195647,-116.81322163486307,2194.749727024278,
47.51433716383699,-116.81057508847294,2142.391855636483,
47.514172062650985,-116.80885346904694,2159.387783740157,
47.51373318473461,-116.81198560809165,2199.2825085104982,
47.513700793230065,-116.81202307694957,2199.998790511811,
47.51366840171332,-116.81206054576124,2200.253103661417,
47.51363601018437,-116.81209801452665,2201.346650209973,
47.51360361864321,-116.8121354832458,2202.0028582381888,
47.513571227089855,-116.81217295191871,2202.7764107611547,
47.51353883552428,-116.81221042054536,2203.2584042683725,
47.51350644394652,-116.81224788912576,2203.6973447637793,
47.51347405235656,-116.8122853576599,2204.629692818241,
47.51344166075438,-116.81232282614776,2205.285900846456,
47.51340926914,-116.8123602945894,2205.7118253116796,
47.513376877513416,-116.81239776298476,2206.1711909580054,
47.51334448587462,-116.81243523133391,2206.7236712598424,
47.51331209422363,-116.81247269963676,2207.5080370964565,
47.51327970256044,-116.81251016789335,2207.8804957283464,
47.513247310885035,-116.81254763610372,2208.2741804954067,
47.513214919197424,-116.81258510426782,2208.2585612631233,
47.5137755205047,-116.81188908734099,2198.623296781496,
47.51378546475213,-116.81183003547211,2197.5720022604983,
47.513795408969266,-116.81177098358087,2196.4033632447504,
47.51380535315609,-116.81171193166725,2195.025466558399,
47.51381529731258,-116.81165287973126,2197.9388539862202,
47.51382524143876,-116.81159382777287,2197.9855114402885,
47.51383518553464,-116.81153477579211,2198.9040424803147,
47.51384512960019,-116.81147572378897,2198.312714343832,
47.51385507363544,-116.81141667176344,2198.750052864173,
47.51386501764037,-116.81135761971554,2198.8553825623358,
47.51387496161498,-116.81129856764525,2199.1179058234907,
47.51388490555928,-116.8112395155526,2200.7136707841205,
47.51389484947328,-116.81118046343755,2200.0574627559054,
47.51390479335696,-116.8111214113001,2198.36838289042,
47.513914737210314,-116.81106235914031,2197.6861428083985,
47.51392468103335,-116.81100330695814,2197.6206621784772,
47.513934624826085,-116.81094425475358,2196.4570293274273,
47.51394456858851,-116.81088520252663,2195.603978914042,
47.51395451232061,-116.81082615027731,2194.565500173884,
47.51396445602239,-116.8107670980056,2192.465714583333,
47.51316360850766,-116.81264446849752,2204.060792296588,
47.51313121700313,-116.81268193694876,2203.303459747375,
47.51309882548638,-116.81271940535376,2201.1379932808395,
47.51306643395742,-116.81275687371252,2198.841365305118,
47.513034042416265,-116.81279434202499,2198.8689993307084,
47.51300165086291,-116.81283181029123,2198.0816297965875,
47.51296925929735,-116.8128692785112,2198.1751449475064,
47.512936867719574,-116.81290674668493,2197.9608811122043,
47.51290447612962,-116.81294421481239,2196.3062436548557,
47.512872084527444,-116.81298168289361,2196.4374051640416,
47.51283969291307,-116.81301915092858,2197.0341399573485,
47.512807301286486,-116.8130566189173,2196.837297575459,
47.51277490964769,-116.81309408685976,2197.404596122047,
47.51274251799671,-116.81313155475596,2195.2689663943565,
47.512710126333516,-116.8131690226059,2195.072124009186,
47.512677734658126,-116.81320649040958,2195.4714156824143,
47.5139788523769,-116.81065967947792,2191.5926395111546,
47.51398528262885,-116.81059956887557,2190.3096597014433,
47.5139917128494,-116.81053945825852,2189.8987537303146,
47.51399814303855,-116.81047934762671,2189.2413442224406,
47.51400457319627,-116.8104192369802,2188.3160047965875,
47.51401100332259,-116.81035912631894,2181.9511673884513,
47.51401743341749,-116.81029901564295,2175.040658064304,
47.51402386348099,-116.81023890495221,2173.6627613779524,
47.51403029351309,-116.81017879424677,2173.0427979790024,
47.51403672351376,-116.81011868352658,2172.5179517060365,
47.514043153483016,-116.81005857279168,2171.5515617322835,
47.51404958342088,-116.80999846204203,2170.815255072178,
47.51405601332732,-116.80993835127765,2169.568519891732,
47.51406244320236,-116.80987824049855,2168.5939198097108,
47.514068873045986,-116.80981812970472,2167.0580285728342,
47.51407530285819,-116.80975801889616,2165.56899503937,
47.514012126846424,-116.81070403836115,2188.587539153543,
47.514051831597165,-116.81068828663294,2179.926073769685,
47.51409153634575,-116.8106725348809,2179.511963851706,
47.514131241092194,-116.81065678310502,2180.0370103740156,
47.51417094583647,-116.81064103130531,2176.479229465223,
47.51421065057859,-116.81062527948177,2167.949125836614,
47.51425035531855,-116.81060952763438,2160.3307448654855,
47.514290060056354,-116.81059377576315,2153.153106610892,
47.51432976479201,-116.81057802386809,2143.9665947047242,
47.51408707672119,-116.8096479520755,2164.776018599081,
47.51409350697314,-116.80958784134921,2161.954544347113,
47.51409993719369,-116.80952773060817,2163.2257096095796,
47.51410636738283,-116.80946761985241,2160.8892325656166,
47.514112797540555,-116.80940750908191,2160.954913441601,
47.514119227666875,-116.8093473982967,2160.979343523622,
47.51412565776178,-116.80928728749672,2160.4542970045927,
47.514132087825274,-116.80922717668203,2160.0425900426508,
47.51413851785737,-116.80916706585262,2160.2394324278216,
47.514144947858036,-116.80910695500845,2160.261860042651,
47.514151377827304,-116.80904684414958,2160.2840874146978,
47.51415780776515,-116.80898673327596,2159.9558832775588,
47.514164237671594,-116.80892662238762,2159.5846261253278,
47.51417066754664,-116.80886651148454,2159.387783740157,
